506295_unique_latency_date,506295_unique_latency_time,506295_unique_latency_p50,506295_unique_latency_p999,_kafka_source_latency_date,_kafka_source_latency_time,_kafka_source_latency_p50,_kafka_source_latency_p999,_kafka_source_latency_date,_kafka_source_latency_time,_kafka_source_latency_p50,_kafka_source_latency_p999,202181_unique_latency_date,202181_unique_latency_time,202181_unique_latency_p50,202181_unique_latency_p999,969038_unique_latency_date,969038_unique_latency_time,969038_unique_latency_p50,969038_unique_latency_p999,_kafka_source_latency_date,_kafka_source_latency_time,_kafka_source_latency_p50,_kafka_source_latency_p999,_kafka_source_latency_date,_kafka_source_latency_time,_kafka_source_latency_p50,_kafka_source_latency_p999
2016-4-8,16:47:32,13133,63280,2016-4-8,16:46:11,25615,30585,2016-4-8,16:46:11,21227,33363,2016-4-8,16:46:11,25712,60996,2016-4-8,16:46:11,9964,43993,2016-4-8,16:46:11,24680,34853,2016-4-8,16:46:11,24129,43131
2016-4-8,16:47:33,13110,63251,2016-4-8,16:46:12,24836,125439,2016-4-8,16:46:12,23286,45876,2016-4-8,16:46:12,19339,60970,2016-4-8,16:46:12,7617,43953,2016-4-8,16:46:12,20307,44112,2016-4-8,16:46:12,21319,49451
2016-4-8,16:47:34,13087,63213,2016-4-8,16:46:13,18847,182843,2016-4-8,16:46:13,18782,45955,2016-4-8,16:46:13,14282,60907,2016-4-8,16:46:13,6441,43880,2016-4-8,16:46:13,16791,45999,2016-4-8,16:46:13,17699,50247
2016-4-8,16:47:35,13066,63172,2016-4-8,16:46:14,16181,176055,2016-4-8,16:46:14,15854,44887,2016-4-8,16:46:14,12272,60833,2016-4-8,16:46:14,6161,43805,2016-4-8,16:46:14,16293,44316,2016-4-8,16:46:14,17587,54807
2016-4-8,16:47:36,13045,63130,2016-4-8,16:46:15,16571,189717,2016-4-8,16:46:15,15599,45634,2016-4-8,16:46:15,11953,60747,2016-4-8,16:46:15,6097,43717,2016-4-8,16:46:15,15384,43141,2016-4-8,16:46:15,16141,48878
2016-4-8,16:47:37,13022,63088,2016-4-8,16:46:16,15795,180394,2016-4-8,16:46:16,15232,47579,2016-4-8,16:46:16,11997,81623,2016-4-8,16:46:16,5889,58695,2016-4-8,16:46:16,15868,44585,2016-4-8,16:46:16,16841,52605
2016-4-8,16:47:38,13003,63047,2016-4-8,16:46:17,15932,182424,2016-4-8,16:46:17,15458,51142,2016-4-8,16:46:17,11872,132655,2016-4-8,16:46:17,5768,61454,2016-4-8,16:46:17,15715,44977,2016-4-8,16:46:17,16303,50939
2016-4-8,16:47:39,12996,63017,2016-4-8,16:46:18,15508,175275,2016-4-8,16:46:18,14603,49636,2016-4-8,16:46:18,11783,132607,2016-4-8,16:46:18,5709,61223,2016-4-8,16:46:18,15303,45905,2016-4-8,16:46:18,16194,51236
2016-4-8,16:47:40,12981,62162,2016-4-8,16:46:19,15873,180657,2016-4-8,16:46:19,15512,53071,2016-4-8,16:46:19,11840,132565,2016-4-8,16:46:19,5774,53737,2016-4-8,16:46:19,15141,48600,2016-4-8,16:46:19,15929,49490
2016-4-8,16:47:41,12971,61858,2016-4-8,16:46:20,15715,180435,2016-4-8,16:46:20,15127,208461,2016-4-8,16:46:20,12087,132506,2016-4-8,16:46:20,5827,43948,2016-4-8,16:46:20,14998,48306,2016-4-8,16:46:20,15475,50250
2016-4-8,16:47:42,12980,61767,2016-4-8,16:46:21,15320,178828,2016-4-8,16:46:21,14867,216581,2016-4-8,16:46:21,12208,132447,2016-4-8,16:46:21,5855,43883,2016-4-8,16:46:21,14827,48967,2016-4-8,16:46:21,15761,51309
2016-4-8,16:47:43,12993,62740,2016-4-8,16:46:22,15346,180257,2016-4-8,16:46:22,14956,217708,2016-4-8,16:46:22,12185,132387,2016-4-8,16:46:22,5853,43834,2016-4-8,16:46:22,14666,47610,2016-4-8,16:46:22,15680,53650
2016-4-8,16:47:44,12979,63177,2016-4-8,16:46:23,15297,182933,2016-4-8,16:46:23,14495,221798,2016-4-8,16:46:23,12093,132328,2016-4-8,16:46:23,5834,43783,2016-4-8,16:46:23,14812,50584,2016-4-8,16:46:23,15271,49282
